Variables  Coefficient  Std.Error  t-value  t-prob Part.R^2
Constant                             6.34564     0.1165     54.5  0.0000   0.0980
num_hrefs                         0.00576486  0.0005678     10.2  0.0000   0.0038
num_self_hrefs                   -0.00895584   0.002069    -4.33  0.0000   0.0007
num_imgs                          0.00326124  0.0007059     4.62  0.0000   0.0008
average_token_length              -0.0934452   0.009080    -10.3  0.0000   0.0039
data_channel_is_lifestyle          -0.160020    0.02543    -6.29  0.0000   0.0014
data_channel_is_entertainment      -0.293392    0.01950    -15.0  0.0000   0.0082
data_channel_is_bus                -0.275748    0.02435    -11.3  0.0000   0.0047
data_channel_is_world              -0.164046    0.02504    -6.55  0.0000   0.0016
kw_min_min                        -0.0398621   0.004612    -8.64  0.0000   0.0027
kw_avg_min                         0.0189611   0.005823     3.26  0.0011   0.0004
kw_max_max                        -0.0937760    0.01736    -5.40  0.0000   0.0011
kw_avg_max                        -0.0900276    0.02021    -4.45  0.0000   0.0007
kw_min_avg                        -0.0113125   0.001788    -6.33  0.0000   0.0015
kw_max_avg                         -0.116565    0.02566    -4.54  0.0000   0.0008
kw_avg_avg                          0.588645    0.03954     14.9  0.0000   0.0081
self_reference_min_shares         -0.0527530    0.01199    -4.40  0.0000   0.0007
self_reference_max_shares          -0.176154    0.02938    -6.00  0.0000   0.0013
self_reference_avg_sharess          0.257239    0.03920     6.56  0.0000   0.0016
weekday_is_monday                  -0.209836    0.01973    -10.6  0.0000   0.0041
weekday_is_tuesday                 -0.292862    0.01921    -15.2  0.0000   0.0084
weekday_is_wednesday               -0.273204    0.01922    -14.2  0.0000   0.0073
weekday_is_thursday                -0.275569    0.01929    -14.3  0.0000   0.0074
weekday_is_friday                  -0.219754    0.02037    -10.8  0.0000   0.0042
LDA_00                              0.390004    0.04276     9.12  0.0000   0.0030
LDA_02                             -0.118139    0.04403    -2.68  0.0073   0.0003
LDA_03                             0.0664285    0.03254     2.04  0.0412   0.0002
LDA_04                              0.117647    0.03534     3.33  0.0009   0.0004
global_subjectivity                 0.375635    0.06422     5.85  0.0000   0.0013
min_positive_polarity              -0.339871    0.08008    -4.24  0.0000   0.0007
min_negative_polarity             -0.0544420    0.02093    -2.60  0.0093   0.0002
title_subjectivity                 0.0918682    0.01926     4.77  0.0000   0.0008
title_sentiment_polarity           0.0700415    0.02085     3.36  0.0008   0.0004
abs_title_subjectivity              0.146428    0.03254     4.50  0.0000   0.0007
